time,aveEDA,d005_EDA
2019-07-26-21-03,0.110999473,2
2019-07-26-21-04,0.124451463,3
2019-07-26-21-05,0.228346973,4
2019-07-26-21-06,0.46707353,9
2019-07-26-21-07,0.741161159,14
2019-07-26-21-08,0.110999473,2
2019-07-26-21-09,0.151414424,3
2019-07-26-21-10,0.228346973,4
2019-07-26-21-11,0.46707353,9
2019-07-26-21-12,0.741161159,14
2019-07-26-21-13,0.741161159,14
2019-08-30-16-59,0.293100803,5
2019-08-30-17-00,0.226654447,4
2019-08-30-17-01,0.180790709,3
2019-08-30-17-02,0.188532552,3
2019-08-30-17-03,0.192082872,3
2019-08-30-17-04,0.166753949,3
2019-08-30-17-05,0.153843764,3
2019-08-30-17-06,0.135498269,2
2019-08-30-17-07,0.130516794,2
2019-08-30-17-08,0.140864166,2
2019-08-30-17-09,0.121867289,2
2019-08-30-17-10,0.12934217,2
2019-08-30-17-11,0.120489775,2
2019-08-30-17-12,0.108722176,2
2019-08-30-17-13,0.098524303,1
2019-08-30-17-14,0.08905256,1
2019-08-30-17-15,0.086313549,1
2019-08-30-17-16,0.08417787,1
2019-08-30-17-17,0.082864428,1
2019-08-30-17-18,0.098550999,1
2019-08-30-17-19,0.168035358,3
2019-08-30-17-20,0.35900274,7
2019-08-30-17-21,0.943183884,18
2019-08-30-17-22,1.839180042,36
2019-08-30-17-23,1.63968587,32
2019-08-30-17-24,1.350443168,27
2019-08-30-17-25,1.234602115,24
2019-08-30-17-26,1.074754167,21
2019-08-30-17-27,0.841382992,16
2019-08-30-17-28,1.157554825,23
2019-08-30-17-29,1.499246579,29
2019-08-30-17-30,1.668934385,33
2019-08-30-17-31,2.182454231,43
2019-08-30-17-33,2.310439429,46
2019-08-30-17-34,2.383605239,47
2019-08-30-17-35,2.67554499,53
2019-08-30-17-36,2.683773343,53
2019-08-30-17-37,2.974197142,59
2019-08-30-17-38,2.797993322,55
2019-08-30-17-39,2.951437135,59
2019-08-30-17-40,2.952555907,59
2019-08-30-17-41,2.956588009,59
2019-08-30-17-42,2.963843965,59
2019-08-30-17-43,2.748451283,54
2019-08-30-17-44,2.728414773,54
2019-08-30-17-45,3.165229898,63
2019-08-30-17-46,3.207587775,64
2019-08-30-17-47,3.134642564,62
2019-08-30-17-48,3.53802628,70
2019-08-30-17-49,2.921726355,58
2019-08-30-17-50,2.59779715,51
2019-08-30-17-51,3.909766509,78
2019-08-30-17-52,5.667415366,113
2019-08-30-17-53,4.361152425,87
2019-08-30-17-54,3.846423595,76
2019-08-30-17-55,4.651900837,93
2019-08-30-17-56,4.627643604,92
2019-08-30-17-59,0.760027281,15
