time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput
2019-08-29-18-18,-2.655172414,0,1.468965514,0
2019-08-29-18-19,-9.965517241,-1,2.209603449,0
2019-08-29-18-20,-4.24137931,0,2.026706903,0
2019-08-29-18-21,-0.586206897,0,1.454293103,0
2019-08-29-18-22,0,0,1,0
2019-08-29-18-23,0,0,1,0
2019-08-29-18-24,0,0,1,0
2019-08-29-18-25,0,0,1,0
2019-08-29-18-58,0,0,1,0
2019-08-29-18-59,0,0,1,0
2019-08-29-19-00,24.06896552,4,1.461551726,0
2019-08-29-19-01,26.48275862,5,1.541310358,0
2019-08-29-19-02,60.39655172,12,1.594155174,0
2019-08-29-19-03,22.63793103,4,1.384241377,0
2019-08-29-19-04,8.24137931,1,1.276706899,0
2019-08-29-19-05,0,0,1,0
2019-08-29-19-06,28.84482759,5,1.516603445,0
2019-08-29-19-07,40.86206897,8,1.773258624,0
2019-08-29-19-08,61.05172414,12,1.800465514,0
2019-08-29-19-09,0,0,1,0
2019-08-29-19-10,44.60344828,8,1.65417241,0
2019-08-29-19-11,56.06896552,11,1.947827578,0
2019-08-29-19-12,18.67241379,3,1.585362064,0
2019-08-29-22-21,39,7,1.656000018,0
2019-08-29-22-33,0,0,1,0
2019-08-30-01-42,0,0,1,0
2019-08-30-01-43,0,0,1,0
2019-08-30-01-44,0,0,1,0
2019-08-30-02-11,0,0,1,0
2019-08-30-02-12,0,0,1,0
2019-08-30-02-14,0,0,1,0
2019-08-30-02-15,0,0,1,0
2019-08-30-02-16,13.82758621,2,1.212413794,0
2019-08-30-02-17,25.25862069,5,1.580879312,0
2019-08-30-02-18,16.79310345,3,1.535775859,0
2019-08-30-02-19,27.63793103,5,1.703896551,0
2019-08-30-15-19,0,0,1,0
2019-08-30-15-20,0,0,1,0
2019-08-30-15-21,0,0,1,0
2019-08-30-15-22,0,0,1,0
2019-08-30-15-23,0,0,1,0
2019-08-30-15-24,0,0,1,0
2019-08-30-15-25,0,0,1,0
2019-08-30-15-26,18.0862069,3,1.369017243,0
2019-08-30-15-27,44.12068966,8,1.565931041,0
2019-08-30-15-28,54.43103448,10,1.866086212,0
2019-08-30-15-29,92.9137931,18,1.804793101,0
2019-08-30-15-30,66.56896552,13,1.849637928,0
2019-08-30-15-31,103.4827586,20,1.745982758,0
2019-08-30-15-32,34.31034483,6,1.658672413,0
2019-08-30-15-33,40.68965517,8,1.777396554,0
2019-08-30-15-34,15.45454545,3,1.269499998,0
2019-08-30-15-35,46.39655172,9,1.743258616,0
2019-08-30-15-37,47.02941176,9,1.497676467,0
2019-08-30-15-38,25.43103448,5,1.505344825,0
2019-08-30-15-39,0.931034483,0,1.062034486,0
2019-08-30-15-40,0,0,1,0
2019-08-30-15-41,0,0,1,0
2019-08-30-15-42,0,0,1,0
2019-08-30-15-43,0,0,1,0
2019-08-30-15-44,85.74137931,17,1.634689656,0
2019-08-30-15-45,79.98275862,15,1.789827585,0
2019-08-30-15-46,112.3275862,22,1.831793101,0
2019-08-30-15-48,47.46551724,9,1.597189653,0
2019-08-30-15-49,79.94827586,15,1.794741374,0
2019-08-30-15-50,39.13793103,7,1.80448275,0
2019-08-30-15-52,13.45238095,2,1.221285712,0
2019-08-30-15-53,34.59574468,6,1.560829784,0
2019-08-30-15-54,48.0862069,9,1.794982758,0
2019-08-30-15-55,33.18965517,6,1.696896549,0
2019-08-30-15-56,43.5862069,8,1.90482758,0
2019-08-30-15-57,27.84482759,5,1.679586201,0
