time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,frequence
2019-08-30-15-20,0.0,0.0,1.0,0.0,72.0,14.0,0.02
2019-08-30-15-21,0.0,0.0,1.0,0.0,69.0,13.0,0.04
2019-08-30-15-22,0.0,0.0,1.0,0.0,69.0,13.0,0.04
2019-08-30-15-26,18.0862069,3.0,1.369017243,0.0,89.0,17.0,0.04
2019-08-30-17-14,15.05172414,3.0,1.318189654,0.0,89.0,17.0,0.04
2019-08-30-15-27,44.12068966,8.0,1.565931041,0.0,95.0,19.0,0.04
2019-08-30-15-58,41.89655172,8.0,1.814413796,0.0,99.0,19.0,0.04
2019-08-30-15-28,54.43103448,10.0,1.866086212,0.0,110.0,22.0,0.02
2019-08-30-15-29,92.91379309999999,18.0,1.804793101,0.0,92.0,18.0,0.02
2019-08-30-15-33,40.68965517,8.0,1.777396554,0.0,115.0,23.0,0.02
2019-08-30-15-34,15.45454545,3.0,1.269499998,0.0,106.0,21.0,0.02
2019-08-30-15-35,46.39655172,9.0,1.7432586159999999,0.0,109.0,21.0,0.04
2019-08-30-15-54,48.08620689999999,9.0,1.7949827580000002,0.0,108.0,21.0,0.04
2019-08-30-15-37,47.02941176,9.0,1.4976764669999998,0.0,99.0,19.0,0.02
2019-08-30-15-39,0.931034483,0.0,1.062034486,0.0,102.0,20.0,0.04
2019-08-30-15-41,0.0,0.0,1.0,0.0,102.0,20.0,0.04
2019-08-30-15-40,0.0,0.0,1.0,0.0,84.0,16.0,0.08
2019-08-30-16-59,0.0,0.0,1.0,0.0,82.0,16.0,0.08
2019-08-30-17-00,0.0,0.0,1.0,0.0,80.0,16.0,0.08
2019-08-30-17-01,0.0,0.0,1.0,0.0,84.0,16.0,0.08
2019-08-30-15-42,0.0,0.0,1.0,0.0,87.0,17.0,0.04
2019-08-30-15-43,0.0,0.0,1.0,0.0,89.0,17.0,0.04
2019-08-30-15-45,79.98275862,15.0,1.789827585,0.0,101.0,20.0,0.02
2019-08-30-15-46,112.3275862,22.0,1.831793101,0.0,111.0,22.0,0.02
2019-08-30-15-48,47.46551724,9.0,1.597189653,0.0,119.0,23.0,0.02
2019-08-30-15-50,39.13793103,7.0,1.80448275,0.0,113.0,22.0,0.02
2019-08-30-15-52,13.45238095,2.0,1.221285712,0.0,103.0,20.0,0.02
2019-08-30-15-53,34.59574468,6.0,1.560829784,0.0,108.0,21.0,0.02
2019-08-30-15-55,33.18965517,6.0,1.696896549,0.0,110.0,22.0,0.02
2019-08-30-15-56,43.58620689999999,8.0,1.90482758,0.0,103.0,20.0,0.02
2019-08-30-15-59,52.53448276,10.0,1.968517256,0.0,100.0,20.0,0.04
2019-08-30-16-00,50.36206897,10.0,1.976706887,0.0,101.0,20.0,0.04
2019-08-30-16-01,64.36170213,12.0,1.994893614,0.0,106.0,21.0,0.02
2019-08-30-17-08,14.5106383,2.0,1.2760638229999999,0.0,79.0,15.0,0.02
2019-08-30-17-09,14.87931034,2.0,1.293310352,0.0,85.0,17.0,0.02
2019-08-30-17-12,8.982758621,1.0,1.1954655220000001,0.0,93.0,18.0,0.02
2019-08-30-17-13,75.74137931,15.0,2.0540689640000003,0.0,88.0,17.0,0.02
2019-08-30-17-15,50.32758621,10.0,1.878293107,0.0,83.0,16.0,0.02
2019-08-30-17-16,54.86206897,10.0,2.100017243,0.0,90.0,18.0,0.06
2019-08-30-17-20,51.43103448,10.0,1.9792413830000002,0.0,90.0,18.0,0.06
2019-08-30-17-25,50.08620689999999,10.0,2.1820862009999997,0.0,91.0,18.0,0.06
2019-08-30-17-18,50.32758621,10.0,2.0320517319999998,0.0,86.0,17.0,0.02
2019-08-30-17-19,58.0862069,11.0,2.095965519,0.0,85.0,17.0,0.02
2019-08-30-17-21,26.12068966,5.0,1.572793099,0.0,91.0,18.0,0.02
2019-08-30-17-24,55.37931034,11.0,2.178275861,0.0,73.0,14.0,0.02
2019-08-30-17-32,5.155172414,1.0,1.257155174,0.0,89.0,17.0,0.02
2019-08-30-17-33,68.90909091,13.0,1.738454537,0.0,104.0,20.0,0.02
2019-08-30-17-38,0.0,0.0,1.0,0.0,112.0,22.0,0.02
2019-08-30-17-39,14.45454545,2.0,1.4282727240000002,0.0,112.0,22.0,0.02
2019-08-30-17-46,0.0,0.0,1.0,0.0,96.0,19.0,0.02
